파일명/유사도(%),씰리매트리스_이윤정_euc.txt,씰리매트리스_이윤정_utf.txt,URL.txt,샘플 1.txt,샘플 10.txt,샘플 11.txt,샘플 12.txt,샘플 13.txt,샘플 14.txt,샘플 2.txt,샘플 3.txt,샘플 4.txt,샘플 5.txt,샘플 6.txt,샘플 7.txt,샘플 8.txt,샘플 9.txt
씰리매트리스_이윤정_euc.txt,100.0,100.0,9.3,28.199999999999996,22.8,19.5,25.2,28.9,24.099999999999998,25.1,24.0,41.699999999999996,45.4,23.799999999999997,19.2,22.5,19.0
씰리매트리스_이윤정_utf.txt,100.0,100.0,9.3,28.199999999999996,22.8,19.5,25.2,28.9,24.099999999999998,25.1,24.0,41.699999999999996,45.4,23.799999999999997,19.2,22.5,19.0
URL.txt,9.3,9.3,100.0,5.800000000000001,3.4000000000000004,4.3,4.3,6.2,6.1,3.6999999999999997,3.5000000000000004,7.199999999999999,8.200000000000001,3.6999999999999997,3.6999999999999997,4.2,3.3000000000000003
샘플 1.txt,28.199999999999996,28.199999999999996,5.800000000000001,100.0,20.0,27.200000000000003,20.0,27.200000000000003,15.6,23.3,20.3,23.400000000000002,23.799999999999997,21.5,13.3,19.400000000000002,19.3
샘플 10.txt,22.8,22.8,3.4000000000000004,20.0,100.0,17.9,17.599999999999998,17.1,11.200000000000001,18.099999999999998,17.2,19.2,19.2,15.7,11.899999999999999,13.5,14.499999999999998
샘플 11.txt,19.5,19.5,4.3,27.200000000000003,17.9,100.0,20.200000000000003,18.7,11.0,16.900000000000002,18.3,17.8,18.0,17.8,10.2,15.5,18.6
샘플 12.txt,25.2,25.2,4.3,20.0,17.599999999999998,20.200000000000003,100.0,17.5,12.7,29.4,43.7,22.5,24.6,16.1,13.100000000000001,23.7,14.000000000000002
샘플 13.txt,28.9,28.9,6.2,27.200000000000003,17.1,18.7,17.5,100.0,20.4,21.6,21.2,25.900000000000002,24.099999999999998,20.5,14.099999999999998,15.8,17.299999999999997
샘플 14.txt,24.099999999999998,24.099999999999998,6.1,15.6,11.200000000000001,11.0,12.7,20.4,100.0,12.4,9.2,18.7,20.5,14.000000000000002,18.8,10.6,10.5
샘플 2.txt,25.1,25.1,3.6999999999999997,23.3,18.099999999999998,16.900000000000002,29.4,21.6,12.4,100.0,32.800000000000004,25.6,22.5,17.8,13.8,23.7,13.100000000000001
샘플 3.txt,24.0,24.0,3.5000000000000004,20.3,17.2,18.3,43.7,21.2,9.2,32.800000000000004,100.0,22.1,23.599999999999998,18.099999999999998,10.6,21.4,13.8
샘플 4.txt,41.699999999999996,41.699999999999996,7.199999999999999,23.400000000000002,19.2,17.8,22.5,25.900000000000002,18.7,25.6,22.1,100.0,43.9,21.6,15.1,19.5,16.7
샘플 5.txt,45.4,45.4,8.200000000000001,23.799999999999997,19.2,18.0,24.6,24.099999999999998,20.5,22.5,23.599999999999998,43.9,100.0,18.099999999999998,16.6,18.4,16.400000000000002
샘플 6.txt,23.799999999999997,23.799999999999997,3.6999999999999997,21.5,15.7,17.8,16.1,20.5,14.000000000000002,17.8,18.099999999999998,21.6,18.099999999999998,100.0,10.9,16.8,30.8
샘플 7.txt,19.2,19.2,3.6999999999999997,13.3,11.899999999999999,10.2,13.100000000000001,14.099999999999998,18.8,13.8,10.6,15.1,16.6,10.9,100.0,13.4,11.3
샘플 8.txt,22.5,22.5,4.2,19.400000000000002,13.5,15.5,23.7,15.8,10.6,23.7,21.4,19.5,18.4,16.8,13.4,100.0,10.9
샘플 9.txt,19.0,19.0,3.3000000000000003,19.3,14.499999999999998,18.6,14.000000000000002,17.299999999999997,10.5,13.100000000000001,13.8,16.7,16.400000000000002,30.8,11.3,10.9,100.0
