파일/유사도,검수 도그마루 1.txt,샘플 .txt,샘플 도그마루 강아지 방문 훈련 1회차.txt,샘플 도그마루 부산본점에서 말티즈 분양 받았어요~.txt,샘플 도그마루 새 가족을 만난 곳.txt,샘플 도그마루 훈련사와 함께 방석 훈련 그리고 산책 시작하기.txt,샘플 무료 강아지 입양은 도그마루에서.txt,샘플 방탄소년단 정국 도베르만 펫샵 쇼핑 논란 (feat 도그마루).txt,샘플 부산 도그마루 부산점 말티푸 분양 서비스 솔직후기.txt,샘플 부평 도그마루 2개월 차 말티푸 분양받았어요.txt,샘플 얼마 전 제가 아이를 낳고 산후우울증을 .txt,샘플 유기견입양 고려 중 유기견보호소  도그마루 방문.txt,샘플 유기견파양견입양 고려하던 중 방문한 도그마루 유기견보호소.txt,샘플 혼자 자취를 하게 된 지 벌써 5년차가 되어 가네요..txt
검수 도그마루 1.txt,100.0,16.900000000000002,14.000000000000002,9.0,20.3,11.1,15.6,11.4,18.8,22.5,18.099999999999998,12.3,13.8,27.700000000000003
샘플 .txt,16.900000000000002,100.0,10.6,11.0,16.2,6.3,18.0,6.7,11.5,13.4,17.8,8.9,13.100000000000001,22.0
샘플 도그마루 강아지 방문 훈련 1회차.txt,14.000000000000002,10.6,100.0,5.1,11.200000000000001,31.3,12.1,4.8,8.0,7.3999999999999995,9.700000000000001,6.5,6.6000000000000005,13.0
샘플 도그마루 부산본점에서 말티즈 분양 받았어요~.txt,9.0,11.0,5.1,100.0,10.6,4.2,12.1,4.9,17.1,12.1,11.700000000000001,10.299999999999999,10.0,12.1
샘플 도그마루 새 가족을 만난 곳.txt,20.3,16.2,11.200000000000001,10.6,100.0,9.4,23.7,8.7,11.600000000000001,13.5,27.1,12.5,19.6,28.599999999999998
샘플 도그마루 훈련사와 함께 방석 훈련 그리고 산책 시작하기.txt,11.1,6.3,31.3,4.2,9.4,100.0,10.2,3.9,7.6,5.2,7.5,7.199999999999999,5.0,10.5
샘플 무료 강아지 입양은 도그마루에서.txt,15.6,18.0,12.1,12.1,23.7,10.2,100.0,12.8,11.600000000000001,13.3,62.4,22.8,38.0,28.000000000000004
샘플 방탄소년단 정국 도베르만 펫샵 쇼핑 논란 (feat 도그마루).txt,11.4,6.7,4.8,4.9,8.7,3.9,12.8,100.0,6.800000000000001,10.8,11.5,8.6,11.600000000000001,10.0
샘플 부산 도그마루 부산점 말티푸 분양 서비스 솔직후기.txt,18.8,11.5,8.0,17.1,11.600000000000001,7.6,11.600000000000001,6.800000000000001,100.0,19.400000000000002,11.700000000000001,9.6,12.4,15.5
샘플 부평 도그마루 2개월 차 말티푸 분양받았어요.txt,22.5,13.4,7.3999999999999995,12.1,13.5,5.2,13.3,10.8,19.400000000000002,100.0,15.4,11.3,14.499999999999998,20.9
샘플 얼마 전 제가 아이를 낳고 산후우울증을 .txt,18.099999999999998,17.8,9.700000000000001,11.700000000000001,27.1,7.5,62.4,11.5,11.700000000000001,15.4,100.0,22.5,39.7,30.8
샘플 유기견입양 고려 중 유기견보호소  도그마루 방문.txt,12.3,8.9,6.5,10.299999999999999,12.5,7.199999999999999,22.8,8.6,9.6,11.3,22.5,100.0,28.000000000000004,12.6
샘플 유기견파양견입양 고려하던 중 방문한 도그마루 유기견보호소.txt,13.8,13.100000000000001,6.6000000000000005,10.0,19.6,5.0,38.0,11.600000000000001,12.4,14.499999999999998,39.7,28.000000000000004,100.0,21.8
샘플 혼자 자취를 하게 된 지 벌써 5년차가 되어 가네요..txt,27.700000000000003,22.0,13.0,12.1,28.599999999999998,10.5,28.000000000000004,10.0,15.5,20.9,30.8,12.6,21.8,100.0
